TOTAL ENERGY AND FORCE IN THE NETWORK AT EVERY TIME STEP
TOTAL TIME STEPS = 1000
timestep	f_total	f_elasticity	f_contraction	f_adhesion	f_motility	e_total	e_elasticity	e_adhesion	e_contraction	shape
4.5	24.0461	23.3875	17.1358	7.48203	23.7444	77.3237	0.681008	46.511	30.1316	3.87592
4.51	25.2661	23.3747	17.1112	7.47474	23.3313	77.3199	0.680046	46.5099	30.1299	3.87582
4.52	24.3154	23.3523	17.1055	7.47404	22.1336	77.3163	0.678483	46.5092	30.1287	3.87576
4.53	22.2611	23.354	17.0984	7.47176	22.7356	77.3123	0.678997	46.5072	30.1261	3.8756
4.54	25.77	23.3804	17.0809	7.46797	23.2107	77.308	0.680983	46.5044	30.1226	3.87537
4.55	21.192	23.3455	17.0744	7.46481	22.9141	77.3044	0.678829	46.5039	30.1217	3.87533
4.56	25.0134	23.267	17.064	7.45876	20.8631	77.3016	0.675778	46.5042	30.1216	3.87535
4.57	23.5363	23.2891	17.0531	7.45546	23.1546	77.297	0.676628	46.5019	30.1185	3.87516
4.58	23.3041	23.2709	17.05	7.4539	22.9724	77.2938	0.675846	46.5009	30.1171	3.87508
4.59	26.0129	23.2616	17.0419	7.45154	22.2083	77.29	0.676131	46.4991	30.1147	3.87493
4.6	25.4054	23.2771	17.0316	7.44848	25.4773	77.2862	0.674981	46.4981	30.1131	3.87484
4.61	21.6538	23.2618	17.0183	7.44349	24.3555	77.2828	0.674902	46.4967	30.1112	3.87472
4.62	26.518	23.27	17.0044	7.43934	20.9697	77.28	0.674349	46.4957	30.11	3.87464
4.63	24.7049	23.2252	17.0066	7.43811	22.1604	77.2768	0.672239	46.4953	30.1092	3.87461
4.64	20.8767	23.241	17.0059	7.43481	23.8422	77.2732	0.672312	46.4938	30.1072	3.87448
4.65	25.8303	23.2376	16.9927	7.43559	22.9948	77.271	0.670991	46.4934	30.1066	3.87445
4.66	24.341	23.2275	16.9906	7.43467	22.57	77.2683	0.670777	46.4924	30.1052	3.87437
4.67	23.5287	23.2291	16.9721	7.42901	21.571	77.2657	0.670156	46.4916	30.1039	3.8743
4.68	23.908	23.218	16.9649	7.42474	22.9811	77.2624	0.668477	46.491	30.1029	3.87425
4.69	24.671	23.2378	16.958	7.42083	22.0368	77.258	0.66881	46.489	30.1002	3.87408
4.7	24.5883	23.239	16.9519	7.41708	22.532	77.2549	0.669088	46.4876	30.0983	3.87396
4.71	25.2924	23.2041	16.9481	7.41646	22.535	77.2517	0.66832	46.4866	30.0967	3.87388
4.72	26.2953	23.2014	16.9356	7.41292	23.9192	77.2478	0.668542	46.4848	30.0944	3.87374
4.73	23.1781	23.2236	16.939	7.4149	23.0567	77.244	0.670511	46.4823	30.0912	3.87353
4.74	24.7632	23.1906	16.9419	7.41503	23.3384	77.2416	0.668237	46.4824	30.091	3.87353
4.75	29.4424	23.1749	16.944	7.41616	21.0389	77.2387	0.667275	46.4816	30.0898	3.87347
4.76	23.7568	23.1529	16.9355	7.41312	23.4963	77.2357	0.665502	46.4812	30.089	3.87344
4.77	22.1836	23.121	16.9309	7.40965	22.0015	77.2336	0.665591	46.4803	30.0877	3.87336
4.78	24.9845	23.1155	16.9318	7.40989	22.7721	77.231	0.665686	46.4791	30.0861	3.87326
4.79	22.9083	23.1196	16.9108	7.40076	20.5354	77.2277	0.6669	46.4772	30.0837	3.8731
4.8	23.0808	23.1405	16.9003	7.39757	21.8526	77.2247	0.667284	46.4757	30.0817	3.87297
4.81	28.2695	23.1273	16.8954	7.39658	22.6959	77.2223	0.66601	46.4753	30.081	3.87294
4.82	23.2764	23.1223	16.8967	7.39776	23.6879	77.2191	0.665781	46.4741	30.0792	3.87284
4.83	26.6701	23.1189	16.8813	7.39321	23.9423	77.2158	0.664336	46.4734	30.0781	3.87278
4.84	26.9221	23.1182	16.8738	7.39201	24.0714	77.2126	0.664231	46.472	30.0763	3.87267
4.85	24.9425	23.1191	16.8572	7.38539	22.0915	77.2093	0.664033	46.4707	30.0745	3.87256
4.86	25.2155	23.1143	16.8539	7.38546	23.5596	77.2066	0.664472	46.4694	30.0728	3.87245
