timestep = 0
vx	vy
4.93757	1.99898	
4.53625	1.28682	
4.57898	1.69306	
2.96323	3.75143	
3.08868	3.48684	
3.74483	4.53186	
3.30523	4.4151	
4.78366	3.94735	
4.25949	3.7965	
4.14278	3.6017	
5.25142	2.94598	
4.79395	2.38039	
4.20959	2.65054	
8.45838	1.15104	
9.33092	0.971567	
8.88249	2.04506	
8.92469	2.1089	
9.26145	2.18655	
4.79428	0.851152	
5.22912	0.63488	
4.04065	0.667504	
3.97298	0.755449	
7.96066	0.0169628	
8.17221	1.02206	
7.76569	0.664612	
7.63315	1.74785	
7.4799	1.83851	
6.31824	1.3865	
6.42175	1.65988	
4.04028	0.45288	
4.84616	0.255144	
6.49016	1.13757	
7.58339	0.693025	
timestep = 0.05
vx	vy
5.74518	9.41395	
6.683	9.21987	
6.22266	5.06393	
8.92049	4.92487	
8.77459	4.94525	
9.44905	7.23321	
1.12961	9.80469	
8.17705	3.84972	
5.8678	4.06463	
6.59304	3.8262	
4.13731	6.1356	
6.50114	7.94467	
4.92821	7.11351	
4.98722	7.39564	
4.86829	7.87652	
4.21163	6.55928	
2.32195	7.44272	
2.49541	7.07453	
3.79827	7.26127	
3.81	7.71113	
6.63608	4.87912	
6.88844	4.08279	
7.52025	4.14467	
7.31887	4.05265	
7.36152	5.90378	
5.0284	4.64648	
4.26285	5.52996	
4.27788	5.92564	
9.69137	6.52143	
9.99429	6.06845	
9.97026	5.90144	
1.62867	7.55484	
1.04691	6.9642	
0.927837	9.81413	
9.58161	8.31102	
9.09605	7.43983	
9.57729	8.66079	
9.86923	9.68307	
7.73554	8.08599	
6.78574	9.03708	
6.5647	9.23102	
8.74246	3.55179	
8.21691	3.753	
8.33355	2.53144	
1.34877	3.51737	
1.23053	2.34148	
9.42011	3.47838	
9.32623	4.39361	
4.00679	5.22285	
2.47571	6.73224	
2.78777	6.13929	
1.2315	6.43263	
3.61688	8.11771	
1.03006	9.72041	
7.47321	5.77948	
7.17441	5.15627	
7.61392	4.57178	
8.28217	5.63163	
8.41876	5.27475	
6.08912	5.26649	
5.97307	5.31222	
6.91663	5.85588	
9.57855	5.95646	
9.17555	6.47133	
8.73904	7.33004	
8.69115	6.66224	
7.5491	7.91906	
8.50313	6.01651	
8.50241	6.01662	
7.07794	7.8892	
7.14626	7.51481	
7.0194	7.82263	
7.02085	7.76099	
9.50875	8.84721	
9.49696	8.74873	
9.32044	8.66281	
8.22152	8.92082	
7.12214	9.2308	
8.50621	9.73077	
8.53757	9.47247	
8.42926	9.33667	
0.31331	9.90422	
6.56625	3.31163	
1.62	3.17381	
1.64685	3.01983	
0.21474	1.62881	
9.93941	0.878728	
9.68373	3.2099	
9.40291	2.26094	
2.57722	5.83342	
5.01429	9.10268	
3.91006	8.30863	
5.14081	8.43966	
4.98646	8.26355	
3.54032	8.15223	
3.29313	8.80942	
2.48034	7.71988	
2.58541	9.16552	
1.17927	9.2895	
1.14465	8.865	
6.40199	6.19754	
6.98125	7.71469	
5.74034	5.85365	
0.465326	7.84601	
1.12727	8.43194	
1.163	8.63702	
1.11277	8.82219	
0.524228	7.14489	
0.424852	7.27777	
3.84114	9.56559	
3.76527	9.74829	
4.69504	9.28037	
4.63732	9.26379	
5.06021	4.25752	
5.72705	4.01482	
6.95942	2.77066	
7.4168	2.9157	
8.00156	2.62502	
7.81626	2.86549	
6.53953	1.70151	
5.75298	2.99528	
5.66986	3.05011	
0.185981	4.65893	
0.471228	4.02777	
0.46518	3.71427	
3.07132	2.25681	
2.85393	2.61101	
1.76794	1.47448	
1.18644	1.85508	
0.667547	1.62444	
9.01755	0.239143	
9.53926	0.785006	
8.52858	1.0801	
9.80651	3.22413	
2.56459	5.62193	
2.81546	4.83035	
3.35943	5.18891	
1.7043	4.59813	
1.69757	4.76197	
2.45623	3.85951	
2.64572	3.8789	
2.50882	4.93774	
2.36146	5.0756	
1.31473	4.81117	
1.56123	4.83903	
0.338371	5.14625	
1.14287	6.06857	
1.26143	5.95364	
0.0470228	5.71491	
0.162098	5.67159	
2.35722	8.79325	
2.14273	8.38055	
2.42662	7.94819	
2.8632	8.90652	
2.63353	9.05603	
5.57581	5.95869	
5.66661	5.93114	
5.53175	6.91037	
6.5637	7.43912	
9.02252	0.127449	
2.70957	1.33867	
2.92281	1.49715	
3.19878	1.40104	
2.61567	0.248215	
2.64969	0.212163	
6.00828	1.33653	
5.5277	0.700494	
4.9374	1.99944	
4.53804	1.28589	
4.57687	1.6966	
2.96277	3.75144	
3.09006	3.48368	
3.74971	4.53125	
3.30515	4.41479	
4.78068	3.94607	
4.26083	3.79947	
4.13984	3.5973	
5.25072	2.94385	
4.79537	2.37784	
4.20787	2.64676	
8.46049	1.14876	
9.33138	0.975793	
8.88049	2.04384	
8.92545	2.11217	
9.26269	2.18535	
4.79652	0.852654	
5.22933	0.634913	
4.03946	0.664695	
3.96876	0.752739	
7.96091	0.0182001	
8.1674	1.02135	
7.7665	0.663928	
7.63357	1.74456	
7.48026	1.83704	
6.31643	1.38533	
6.41861	1.65826	
4.03815	0.450796	
4.84731	0.25168	
6.48511	1.13458	
7.57906	0.691795	
timestep = 0.06
vx	vy
5.74992	9.41002	
6.68033	9.22022	
6.22095	5.06157	
8.92239	4.92437	
8.7757	4.94295	
9.45137	7.23389	
1.13269	9.81071	
8.17881	3.84968	
5.86841	4.06658	
6.5922	3.82544	
4.13566	6.13779	
6.50181	7.95314	
4.93015	7.11186	
4.98931	7.39537	
4.867	7.87187	
4.20993	6.55947	
2.32146	7.44191	
2.49884	7.07105	
3.79429	7.25635	
3.81162	7.70701	
6.63536	4.87799	
6.88656	4.08235	
7.52183	4.14429	
7.31775	4.0488	
7.36136	5.90458	
5.02627	4.6516	
4.26345	5.52706	
4.28055	5.923	
9.69019	6.52403	
9.99887	6.07167	
9.97054	5.90008	
1.62642	7.5538	
1.04674	6.96481	
0.926627	9.81465	
9.57945	8.31064	
9.09474	7.44423	
9.57707	8.66381	
9.87096	9.67942	
7.73816	8.08363	
6.78592	9.03647	
6.55881	9.23384	
8.7453	3.54812	
8.21835	3.75281	
8.33951	2.53419	
1.34515	3.5162	
1.22907	2.33886	
9.41695	3.4786	
9.328	4.39188	
4.00607	5.22288	
2.47588	6.73238	
2.79049	6.14049	
1.23316	6.43366	
3.61687	8.1171	
1.03025	9.72225	
7.47332	5.779	
7.17455	5.15448	
7.61408	4.57318	
8.28318	5.63434	
