TOTAL ENERGY AND FORCE IN THE NETWORK AT EVERY TIME STEP
TOTAL TIME STEPS = 7000
timestep             f_total        f_elasticity       f_contraction          f_adhesion             e_total        e_elasticity          e_adhesion       e_contraction
24.3             247.893             208.818             247.893             20.4971             1177.24             36.8559             72.9773             1122.14
24.4             247.893             208.792             247.893             20.4972             1177.23             36.8476             72.9781             1122.14
24.5             247.892             208.766             247.892             20.4972             1177.22             36.8393             72.9789             1122.14
24.6             247.891              208.74             247.891             20.4973             1177.21              36.831             72.9797             1122.13
24.7             247.891             208.714             247.891             20.4974              1177.2             36.8228             72.9804             1122.13
24.8              247.89             208.687              247.89             20.4974             1177.18             36.8146             72.9812             1122.12
24.9             247.889             208.661             247.889             20.4975             1177.17             36.8064              72.982             1122.12
25             247.889             208.635             247.889             20.4975             1177.16             36.7983             72.9828             1122.12
25.1             247.888             208.609             247.888             20.4976             1177.15             36.7902             72.9836             1122.11
25.2             247.887             208.583             247.887             20.4977             1177.14             36.7821             72.9843             1122.11
25.3             247.887             208.557             247.887             20.4977             1177.12             36.7741             72.9851              1122.1
25.4             247.886             208.531             247.886             20.4978             1177.11             36.7661             72.9859              1122.1
25.5             247.885             208.505             247.885             20.4978              1177.1             36.7581             72.9867             1122.09
25.6             247.885             208.479             247.885             20.4979             1177.09             36.7502             72.9874             1122.09
25.7             247.884             208.453             247.884             20.4979             1177.08             36.7423             72.9882             1122.09
25.8             247.884             208.428             247.884              20.498             1177.06             36.7344              72.989             1122.08
25.9             247.883             208.402             247.883              20.498             1177.05             36.7266             72.9898             1122.08
26             247.882             208.376             247.882             20.4981             1177.04             36.7187             72.9906             1122.07
26.1             247.882              208.35             247.882             20.4981             1177.03              36.711             72.9913             1122.07
26.2             247.881             208.325             247.881             20.4982             1177.02             36.7032             72.9921             1122.07
26.3              247.88             208.299              247.88             20.4982             1177.01             36.6955             72.9929             1122.06
26.4              247.88             208.273              247.88             20.4983             1176.99             36.6878             72.9937             1122.06
26.5             247.879             208.247             247.879             20.4983             1176.98             36.6802             72.9944             1122.05
26.6             247.878             208.221             247.878             20.4984             1176.97             36.6726             72.9952             1122.05
26.7             247.878             208.195             247.878             20.4984             1176.96              36.665              72.996             1122.05
26.8             247.877              208.17             247.877             20.4985             1176.95             36.6575             72.9968             1122.04
26.9             247.876             208.144             247.876             20.4985             1176.94             36.6499             72.9975             1122.04
27             247.876             208.118             247.876             20.4985             1176.93             36.6425             72.9983             1122.03
27.1             247.875             208.092             247.875             20.4986             1176.91              36.635             72.9991             1122.03
27.2             247.875             208.066             247.875             20.4986              1176.9             36.6276             72.9999             1122.03
