timestep = 0
vx	vy
7.05023	9.77193	
0.837477	8.34964	
3.00306	6.34491	
1.76423	4.17473	
2.43154	1.46679	
3.14003	1.14693	
0.836978	0.297952	
0.730727	4.37323	
timestep = 0.57
vx	vy
6.89182	8.53324	
3.54974	6.43583	
4.20208	7.97836	
8.62053	7.28497	
8.98255	1.04952	
8.40764	2.63494	
5.00667	2.88535	
4.70273	5.26667	
8.67388	3.18758	
8.58676	7.14415	
6.92781	5.67805	
4.53863	1.8197	
7.0497	9.77138	
0.836037	8.34766	
3.00052	6.34	
1.76072	4.17139	
2.42703	1.46256	
3.1354	1.14339	
0.835784	0.296613	
0.726041	4.37081	
timestep = 0.58
vx	vy
6.8904	8.5331	
3.54906	6.43131	
4.20107	7.97775	
8.59315	7.28546	
8.98067	1.04817	
8.40299	2.63661	
5.00366	2.88216	
4.69752	5.2661	
8.66796	3.18645	
8.61037	7.14177	
6.92277	5.67794	
4.53769	1.81754	
7.04862	9.76997	
0.835541	8.34547	
2.99911	6.33611	
1.75791	4.16817	
2.4241	1.45824	
3.13247	1.13924	
0.835252	0.295188	
0.721516	4.36937	
timestep = 0.59
vx	vy
6.88927	8.53172	
3.54865	6.42715	
4.20174	7.97655	
8.61631	7.28266	
8.97927	1.04603	
